Year,Harveted_Timber,Biomass,Pulpwood,Sawlog,Biochar,Residential_Fuel,Industry_Fuel,Paper,Composite_Board,Lumber,Veneer,Construction_B,Construction_E,Home_Application,Processing_Residual
2020,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2021,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2022,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2023,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2024,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2025,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2026,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2027,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2028,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2029,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2030,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2031,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2032,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2033,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2034,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2035,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2036,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2037,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2038,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2039,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2040,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2041,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2042,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2043,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2044,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2045,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2046,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2047,1960665761,647019701,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
