Year,Biochar,Biochar_E,IFuelwood_E,IFuelwood_Char,RFuelwood_E,RFuelwood_Char,Paper_C,Paper_A,Paper_D,Paper_R,Paper_L,BC_C,BC_A,BC_D,BC_R,BC_L,EC_C,EC_A,EC_L,HA_C,HA_A,HA_D,HA_R,HA_L
2020,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,472758528.0,27965757.0,1400456.0,26565301.0,240848763.0,240729272.0,124912.0,0.0,124912.0,47696325.0,47513061.0,190609.0,206723778.0,206357760.0,382574.0,0.0,382574.0
2021,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,917035492.0,56956622.0,5550762.0,51405859.0,240848763.0,481327917.0,261403.0,4530.0,256873.0,47696325.0,94827860.0,396680.0,206723778.0,412315550.0,800370.0,18492.0,781878.0
2022,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,1331826444.0,86930136.0,11255081.0,75675055.0,240848763.0,721783894.0,410413.0,11272.0,399140.0,47696325.0,141928459.0,619171.0,206723778.0,617836832.0,1256045.0,45997.0,1210048.0
2023,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,1716172790.0,117837077.0,18109994.0,99727083.0,240848763.0,962084187.0,572942.0,19857.0,553085.0,47696325.0,188797946.0,859071.0,206723778.0,822882342.0,1752394.0,80978.0,1671416.0
2024,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,2069168464.0,149621641.0,25909315.0,123712327.0,240848763.0,1202214749.0,750059.0,30179.0,719880.0,47696325.0,235418407.0,1117397.0,206723778.0,1027409948.0,2292353.0,122980.0,2169373.0
2025,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,2389966393.0,182221701.0,34524031.0,147697671.0,240848763.0,1442160430.0,942899.0,42236.0,900662.0,47696325.0,281770894.0,1395194.0,206723778.0,1231374513.0,2878999.0,171949.0,2707050.0
2026,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,2677784660.0,215569134.0,43861973.0,171707160.0,240848763.0,1681904909.0,1152668.0,56075.0,1096593.0,47696325.0,327835404.0,1693530.0,206723778.0,1434727754.0,3515550.0,228031.0,3287519.0
2027,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,2931912299.0,249590229.0,53850573.0,195739657.0,240848763.0,1921430624.0,1380648.0,71774.0,1308874.0,47696325.0,373590854.0,2013498.0,206723778.0,1637418097.0,4205364.0,291494.0,3913870.0
2028,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3151714655.0,284206164.0,64428341.0,219777823.0,240848763.0,2160718691.0,1628198.0,89438.0,1538760.0,47696325.0,419015058.0,2356210.0,206723778.0,1839390545.0,4951937.0,362684.0,4589253.0
2029,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3336638230.0,319333541.0,75540262.0,243793279.0,240848763.0,2399748828.0,1896754.0,109186.0,1787568.0,47696325.0,464084709.0,2722792.0,206723778.0,2040586532.0,5758901.0,442012.0,5316889.0
2030,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3486214965.0,354884985.0,87135130.0,267749855.0,240848763.0,2638499276.0,2187837.0,131155.0,2056682.0,47696325.0,508775369.0,3114384.0,206723778.0,2240943796.0,6630020.0,529936.0,6100084.0
2031,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3600065893.0,390769796.0,99163979.0,291605817.0,240848763.0,2876946711.0,2503053.0,155496.0,2347557.0,47696325.0,553061452.0,3532136.0,206723778.0,2440396247.0,7569188.0,626957.0,6942230.0
2032,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3677904125.0,426894639.0,111579139.0,315315500.0,240848763.0,3115066161.0,2844097.0,182374.0,2661723.0,47696325.0,596916223.0,3977202.0,206723778.0,2638873839.0,8580417.0,733611.0,7846806.0
2033,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3719537124.0,463164270.0,124333685.0,338830585.0,240848763.0,3352830915.0,3212751.0,211966.0,3000785.0,47696325.0,640311790.0,4450735.0,206723778.0,2836302454.0,9667839.0,850466.0,8817373.0
2034,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,499482293.0,137381152.0,362101141.0,240848763.0,3590212431.0,3610893.0,244462.0,3366431.0,47696325.0,683219111.0,4953886.0,206723778.0,3032603790.0,10835691.0,978120.0,9857571.0
2035,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3693897458.0,535751924.0,150675419.0,385076506.0,240848763.0,3827180243.0,4040496.0,280066.0,3760430.0,47696325.0,725607998.0,5487793.0,206723778.0,3227695254.0,12088312.0,1117197.0,10971115.0
2036,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,145771992.0,362014176.0,240848763.0,4063701866.0,4503626.0,318993.0,4184633.0,47696325.0,767447129.0,6053582.0,206723778.0,3421489872.0,13430128.0,1268347.0,12161781.0
2037,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,148570420.0,359215748.0,240848763.0,4299742693.0,5002453.0,361474.0,4640980.0,47696325.0,808704069.0,6652359.0,206723778.0,3613896203.0,14865643.0,1432241.0,13433402.0
2038,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,151222648.0,356563520.0,240848763.0,4535265905.0,5539245.0,407749.0,5131496.0,47696325.0,849345287.0,7285201.0,206723778.0,3804818268.0,16399428.0,1609570.0,14789857.0
2039,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,153743196.0,354042972.0,240848763.0,4770232361.0,6116370.0,458075.0,5658295.0,47696325.0,889336192.0,7953157.0,206723778.0,3994155489.0,18036102.0,1801044.0,16235058.0
2040,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,156144524.0,351641644.0,240848763.0,5004600498.0,6736302.0,512721.0,6223581.0,47696325.0,928641163.0,8657235.0,206723778.0,4181802651.0,19780326.0,2007388.0,17772938.0
2041,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,158437401.0,349348766.0,240848763.0,5238326231.0,7401616.0,571968.0,6829648.0,47696325.0,967223591.0,9398399.0,206723778.0,4367649865.0,21636777.0,2229340.0,19407437.0
2042,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,160631203.0,347154964.0,240848763.0,5471362846.0,8114993.0,636113.0,7478880.0,47696325.0,1005045929.0,10177563.0,206723778.0,4551582564.0,23610138.0,2467648.0,21142490.0
2043,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,162734138.0,345052030.0,240848763.0,5703660898.0,8879216.0,705466.0,8173750.0,47696325.0,1042069743.0,10995585.0,206723778.0,4733481501.0,25705076.0,2723070.0,22982005.0
2044,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,164753435.0,343032733.0,240848763.0,5935168105.0,9697173.0,780350.0,8916823.0,47696325.0,1078255773.0,11853257.0,206723778.0,4913222779.0,27926223.0,2996368.0,24929855.0
2045,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,166695492.0,341090675.0,240848763.0,6165829247.0,10571854.0,861103.0,9710751.0,47696325.0,1113564001.0,12751304.0,206723778.0,5090677895.0,30278157.0,3288305.0,26989852.0
2046,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,168566003.0,339220165.0,240848763.0,6395586060.0,11506352.0,948076.0,10558275.0,47696325.0,1147953722.0,13690372.0,206723778.0,5265713805.0,32765380.0,3599645.0,29165735.0
2047,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,170370051.0,337416117.0,240848763.0,6624377141.0,12503859.0,1041635.0,11462224.0,47696325.0,1181383624.0,14671028.0,206723778.0,5438193008.0,35392293.0,3931145.0,31461148.0
2048,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,172112198.0,335673969.0,240848763.0,6852137844.0,13567666.0,1142159.0,12425508.0,47696325.0,1213811874.0,15693749.0,206723778.0,5607973663.0,38163178.0,4283557.0,33879621.0
2049,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,173796552.0,333989615.0,240848763.0,7078800182.0,14701160.0,1250039.0,13451121.0,47696325.0,1245196206.0,16758918.0,206723778.0,5774909719.0,41082169.0,4657619.0,36424550.0
2050,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,175426824.0,332359343.0,240848763.0,7304292738.0,15907817.0,1365681.0,14542136.0,47696325.0,1275494023.0,17866819.0,206723778.0,5938851069.0,44153233.0,5054055.0,39099178.0
2051,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,177006380.0,330779788.0,240848763.0,7528540572.0,17191206.0,1489505.0,15701702.0,47696325.0,1304662495.0,19017629.0,206723778.0,6099643741.0,47380139.0,5473568.0,41906570.0
2052,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,178538280.0,329247888.0,240848763.0,7751465133.0,18554978.0,1621941.0,16933037.0,47696325.0,1332658668.0,20211420.0,206723778.0,6257130095.0,50766439.0,5916841.0,44849598.0
2053,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,180025315.0,327760853.0,240848763.0,7972984179.0,20002863.0,1763433.0,18239431.0,47696325.0,1359439574.0,21448145.0,206723778.0,6411149062.0,54315442.0,6384528.0,47930915.0
2054,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,181470038.0,326316129.0,240848763.0,8193011701.0,21538668.0,1914437.0,19624231.0,47696325.0,1384962351.0,22727641.0,206723778.0,6561536398.0,58030185.0,6877250.0,51152935.0
2055,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,182874792.0,324911375.0,240848763.0,8411457848.0,23166264.0,2075419.0,21090845.0,47696325.0,1409184360.0,24049625.0,206723778.0,6708124964.0,61913413.0,7395596.0,54517817.0
2056,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,184241729.0,323544439.0,240848763.0,8628228865.0,24889587.0,2246856.0,22642730.0,47696325.0,1432063306.0,25413686.0,206723778.0,6850745035.0,65967551.0,7940114.0,58027437.0
2057,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,185572830.0,322213338.0,240848763.0,8843227037.0,26712624.0,2429237.0,24283388.0,47696325.0,1453557369.0,26819290.0,206723778.0,6989224630.0,70194683.0,8511307.0,61683376.0
2058,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,186869928.0,320916240.0,240848763.0,9056350634.0,28639412.0,2623056.0,26016356.0,47696325.0,1473625330.0,28265770.0,206723778.0,7123389864.0,74596529.0,9109633.0,65486896.0
2059,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,3724868235.0,507786168.0,188134716.0,319651452.0,240848763.0,9267493873.0,30674022.0,2828819.0,27845203.0,47696325.0,1492226698.0,29752333.0,206723778.0,7253065324.0,79174418.0,9735496.0,69438922.0
