Year,Charcoal_A,Charcoal_D,Landfill_C,Landfill_A,Landfill_DC
0,75027709.0,75103.0,27263396.0,25503906.0,1759490.0
1,149980391.0,150131.0,65493865.0,87973628.0,3024143.0
2,224858119.0,225083.0,97957271.0,182433161.0,3497737.0
3,299660971.0,299961.0,128115805.0,304440184.0,6108782.0
4,374389019.0,374764.0,157097346.0,449899398.0,11638131.0
5,449042339.0,449492.0,185407008.0,615048655.0,20257752.0
6,523621006.0,524145.0,213305070.0,796183666.0,32170059.0
7,598125094.0,598724.0,240933623.0,989550500.0,47566790.0
8,672554678.0,673228.0,268369759.0,1191295857.0,66624402.0
9,746909833.0,747657.0,295651472.0,1397442871.0,89504457.0
10,821190632.0,822013.0,322791722.0,1603879957.0,116354636.0
11,895397150.0,896293.0,349786746.0,1651113876.0,302552827.0
12,969529463.0,970500.0,376621321.0,1859173255.0,168561943.0
13,1043587642.0,1044632.0,403272321.0,2067385427.0,195060148.0
14,1117571764.0,1118690.0,429711254.0,2275423312.0,221673370.0
15,1191481901.0,1192675.0,455906143.0,2482909167.0,248420288.0
16,1265318128.0,1266585.0,436131101.0,2689437950.0,229602318.0
17,1339080520.0,1340421.0,436702777.0,2851906528.0,274234199.0
18,1412769148.0,1414183.0,437517295.0,2988028702.0,301395120.0
19,1486384088.0,1487872.0,438573000.0,3097502651.0,329099052.0
20,1559925413.0,1561487.0,439869523.0,3184698544.0,352673630.0
21,1633393197.0,1635028.0,441407542.0,3219929871.0,406176216.0
22,1706787513.0,1708496.0,443188603.0,3273747056.0,389371417.0
23,1780108435.0,1781890.0,445214951.0,3316272363.0,402689644.0
24,1853356036.0,1855211.0,447489406.0,3351749389.0,412012380.0
25,1926530389.0,1928459.0,450015247.0,3384431912.0,417332724.0
26,1999631567.0,2001633.0,452796117.0,3418617913.0,418610116.0
27,2072659645.0,2074734.0,455835935.0,3458095454.0,416358394.0
28,2145614695.0,2147762.0,459138815.0,3500155633.0,417078636.0
29,2218496789.0,2220718.0,462709004.0,3544942334.0,417922303.0
30,2291306002.0,2293600.0,466550815.0,3592590567.0,418902583.0
31,2364042405.0,2366409.0,470668563.0,3643228886.0,420030244.0
32,2436706072.0,2439145.0,475066517.0,3696980863.0,421314540.0
33,2509297075.0,2511809.0,479748848.0,3753965957.0,422763754.0
34,2581815487.0,2584400.0,484719573.0,3814299994.0,424385536.0
35,2654261380.0,2656918.0,489982525.0,3878095382.0,426187137.0
36,2726634828.0,2729364.0,495541290.0,3926974824.0,446661849.0
37,2798935903.0,2801738.0,501399187.0,3997250625.0,431123386.0
38,2871164676.0,2874039.0,507559209.0,4071321056.0,433488778.0
39,2943321220.0,2946267.0,514024003.0,4149295259.0,436049800.0
40,3015405608.0,3018424.0,520795830.0,4231278965.0,438812125.0
41,3087417912.0,3090508.0,527876532.0,4292415815.0,466739682.0
42,3159358203.0,3162521.0,535267506.0,4381215460.0,446467861.0
43,3231226554.0,3234461.0,542969673.0,4474262257.0,449922875.0
44,3303023037.0,3306329.0,550983457.0,4571648614.0,453597100.0
45,3374747723.0,3378126.0,559308761.0,4673462212.0,457495163.0
46,3446400684.0,3449851.0,567944948.0,4779785657.0,461621503.0
47,3517981993.0,3521503.0,576890826.0,4890696124.0,465980359.0
48,3589491720.0,3593085.0,586144632.0,5006265006.0,470575749.0
49,3660929938.0,3664595.0,595704022.0,5126557579.0,475411449.0
50,3732296717.0,3736033.0,605566059.0,5251632664.0,480490974.0
51,3803592129.0,3807400.0,615727212.0,5381542317.0,485817559.0
52,3874816246.0,3878695.0,626183352.0,5516331533.0,491394136.0
53,3945969139.0,3949919.0,636929756.0,5656037967.0,497223321.0
54,4017050879.0,4021072.0,647961098.0,5800691692.0,503307373.0
55,4088061538.0,4092154.0,659271469.0,5950314957.0,509648204.0
56,4159001185.0,4163164.0,670854378.0,6104921993.0,516247342.0
57,4229869893.0,4234104.0,682702770.0,6264518837.0,523105926.0
58,4300667733.0,4304973.0,694809027.0,6429103192.0,530224672.0
59,4371394774.0,4375771.0,707165003.0,6598664308.0,537603887.0
60,4442051089.0,4446498.0,719762033.0,6773182905.0,545243436.0
61,4512636747.0,4517154.0,730464644.0,6952631124.0,551016424.0
62,4583151819.0,4587740.0,741586558.0,7134869227.0,559348456.0
63,4653596376.0,4658255.0,752929627.0,7320038193.0,567760660.0
64,4723970489.0,4728699.0,764485853.0,7508086842.0,576437205.0
65,4794274228.0,4799073.0,776246808.0,7698993991.0,585339659.0
66,4864507663.0,4869377.0,788203649.0,7892735067.0,594462573.0
67,4934670864.0,4939610.0,800347144.0,8089283678.0,603798534.0
68,5004763903.0,5009774.0,812667696.0,8288610984.0,613340389.0
69,5074786848.0,5079867.0,825155367.0,8490685297.0,623081054.0
70,5144739770.0,5149890.0,837799909.0,8695471797.0,633013409.0
71,5214622740.0,5219843.0,843280032.0,8902932360.0,635819469.0
72,5284435826.0,5289726.0,849253804.0,9105860516.0,646325648.0
73,5354179100.0,5359539.0,855390647.0,9304505890.0,656745273.0
74,5423852630.0,5429282.0,861687870.0,9498814183.0,667379578.0
75,5493456486.0,5498955.0,868142451.0,9688964359.0,677992275.0
76,5562990739.0,5568559.0,874751045.0,9875166156.0,688549248.0
77,5632455457.0,5638094.0,881509980.0,10057660743.0,699015393.0
78,5701850711.0,5707558.0,888415253.0,10236715616.0,709360380.0
79,5771176570.0,5776954.0,895462551.0,10412620802.0,719557365.0
80,5840433102.0,5846279.0,902647235.0,10585685859.0,729582179.0
