Year,,B_bchar,B_rfuel,B_ifuel,P_paper,R_paper,P_CB,R_CB,ComB_BC,ComB_HA,P_PR,S_Lumber,S_Veneer,S_PR,Construction,Home_Application,Construction_B,Construction_E
2056,37,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2057,38,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2058,39,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2059,40,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2060,41,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2061,42,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2062,43,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2063,44,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2064,45,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2065,46,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2066,47,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2067,48,0.11,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
