Year,Biochar,Biochar_E,IFuelwood_E,IFuelwood_Char,RFuelwood_E,RFuelwood_Char,Paper_C,Paper_A,Paper_D,Paper_R,Paper_L,BC_C,BC_A,BC_D,BC_R,BC_L,EC_C,EC_A,EC_L,HA_C,HA_A,HA_D,HA_R,HA_L
2020,58522932.0,28824728.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,472758528.0,27965757.0,1400456.0,26565301.0,240848763.0,240729272.0,124912.0,0.0,124912.0,47696325.0,47513061.0,190609.0,206723778.0,206357760.0,382574.0,0.0,382574.0
2021,55036161.0,27107363.0,394890207.0,12213099.0,154469254.0,13432109.0,508483998.0,924868277.0,57419966.0,5595918.0,51824048.0,256352030.0,496823493.0,269444.0,4669.0,264775.0,44867210.0,92009616.0,385374.0,190345620.0,395966391.0,770060.0,17792.0,752268.0
2022,66630059.0,32817790.0,383591717.0,11863661.0,158729448.0,13802561.0,515690005.0,1353830848.0,88276692.0,11429423.0,76847269.0,226983803.0,723412980.0,412008.0,11316.0,400692.0,37114723.0,128581030.0,564661.0,232014270.0,626765074.0,1269748.0,46499.0,1223249.0
2023,67673091.0,33331523.0,399459692.0,12354423.0,151859421.0,13205167.0,523804424.0,1759119272.0,120551568.0,18527175.0,102024393.0,205646824.0,928527135.0,556419.0,19284.0,537135.0,43949580.0,171774859.0,785183.0,256097703.0,881082740.0,1858779.0,85894.0,1772885.0
2024,59045327.0,29082027.0,415396543.0,12847316.0,158353839.0,13769899.0,531245648.0,2138698821.0,154166354.0,26696302.0,127470052.0,214113575.0,1141953057.0,718128.0,28895.0,689233.0,45688159.0,216471673.0,1029594.0,253314486.0,1132007325.0,2494785.0,133840.0,2360945.0
2025,66997317.0,32998679.0,400532913.0,12387616.0,171447680.0,14908494.0,540087347.0,2492577252.0,189150150.0,35836706.0,153313443.0,205751802.0,1346852579.0,889811.0,39858.0,849953.0,46608135.0,261831369.0,1296146.0,269427024.0,1398352542.0,3215979.0,192075.0,3023904.0
2026,60908396.0,29999657.0,421614504.0,13039624.0,169884424.0,14772559.0,547777648.0,2818323372.0,225385315.0,45859277.0,179526038.0,221686888.0,1567500187.0,1084762.0,52771.0,1031990.0,45723157.0,306033132.0,1578942.0,265284754.0,1659810991.0,3991478.0,258902.0,3732576.0
2027,57512198.0,28326903.0,432062820.0,13362768.0,174866512.0,15205784.0,556431776.0,3115627410.0,262863376.0,56714333.0,206149043.0,280473398.0,1846701842.0,1327099.0,68991.0,1258108.0,44435067.0,348658769.0,1877145.0,236693192.0,1891920608.0,4779563.0,331294.0,4448269.0
2028,67738863.0,33363918.0,428521938.0,13253256.0,174570801.0,15180070.0,564372237.0,3382604766.0,301477781.0,68343744.0,233134037.0,287746186.0,2132919975.0,1594190.0,87570.0,1506620.0,47610376.0,394138800.0,2209234.0,228073315.0,2114605371.0,5616685.0,411371.0,5205314.0
2029,68799252.0,33886199.0,435230051.0,13460723.0,177303545.0,15417700.0,573206960.0,3619000839.0,341204529.0,80713975.0,260490554.0,292250585.0,2423361871.0,1886509.0,108596.0,1777913.0,48355673.0,440017630.0,2567578.0,231643590.0,2339983464.0,6528107.0,501051.0,6027056.0
