Year,Harveted_Timber,Biomass,Pulpwood,Sawlog,Biochar,Residential_Fuel,Industry_Fuel,Paper,Composite_Board,Lumber,Veneer,Construction_B,Construction_E,Home_Application,Processing_Residual
2048,2223302591,733689855.0,1067185244.0,422427492.3,101249200.0,190025672.0,442414983.0,565189574.0,372463767.0,172772844.0,19009237.0,288162906.85,47679327.0,228403615.15,625284217.0
2049,2226891777,734874286.3,1068908053.0,423109437.6,101412652.0,190332440.0,443129195.0,566101987.0,373065054.0,173051760.0,19039925.0,288628102.70000005,47756298.0,228772338.3,626293643.0
2050,2230486757,736060629.7,1070633643.0,423792483.7,101576367.0,190639703.0,443844560.0,567015872.0,373667311.0,173331126.0,19070662.0,289094049.05,47833393.0,229141656.95000002,627304699.0
2051,2229450601,735718698.4,1070136289.0,423595614.2,101529180.0,190551143.0,443638375.0,566752470.0,373493726.0,173250606.0,19061803.0,288959752.3,47811173.0,229035210.70000002,627013290.0
2052,2228414927,735376925.9,1069639165.0,423398836.1,101482016.0,190462624.0,443432286.0,566489190.0,373320223.0,173170124.0,19052948.0,288825518.65,47788962.0,228928814.35,626722016.0
2053,2227379734,735035312.2,1069142272.0,423202149.5,101434873.0,190374146.0,443226293.0,566226031.0,373146800.0,173089679.0,19044097.0,288691347.0,47766762.0,228822467.0,626430877.0
2054,2226345022,734693857.2,1068645611.0,423005554.2,101387752.0,190285709.0,443020396.0,565962995.0,372973457.0,173009272.0,19035250.0,288557237.35,47744573.0,228716168.65,626139874.0
2055,2225310790,734352560.8,1068149179.0,422809050.2,101340653.0,190197313.0,442814594.0,565700081.0,372800195.0,172928902.0,19026407.0,288423190.25,47722393.0,228609920.75,625849004.0
2056,2224277039,734011423.0,1067652979.0,422612637.5,101293576.0,190108959.0,442608888.0,565437290.0,372627013.0,172848569.0,19017569.0,288289205.15,47700224.0,228503721.85,625558271.0
2057,2223243769,733670443.7,1067157009.0,422416316.0,101246521.0,190020645.0,442403278.0,565174620.0,372453912.0,172768273.0,19008734.0,288155282.6,47678065.0,228397571.4,625267674.0
2058,2222210978,733329622.7,1066661269.0,422220085.8,101199488.0,189932372.0,442197762.0,564912072.0,372280892.0,172688015.0,18999904.0,288021422.6,47655917.0,228291471.4,624977210.0
2059,2221178667,732988960.1,1066165760.0,422023946.7,101152476.0,189844141.0,441992343.0,564649648.0,372107952.0,172607794.0,18991078.0,287887624.6,47633779.0,228185420.4,624686882.0
2060,2220146835,732648455.7,1065670481.0,421827898.7,101105487.0,189755950.0,441787019.0,564387343.0,371935092.0,172527611.0,18982255.0,287753888.6,47611651.0,228079419.4,624396688.0
2061,2213489883,730451661.3,1062475144.0,420563077.7,100802329.0,189186980.0,440462352.0,562695068.0,370819871.0,172010299.0,18925338.0,286891078.05,47468891.0,227395538.95000002,622524479.0
2062,2206852890,728261453.8,1059289387.0,419302049.1,100500081.0,188619717.0,439141657.0,561007866.0,369707994.0,171494538.0,18868592.0,286030855.70000005,47326558.0,226713709.3,620657883.0
2063,2200235798,726077813.5,1056113183.0,418044801.7,100198738.0,188054154.0,437824922.0,559325724.0,368599451.0,170980324.0,18812016.0,285173213.05,47184653.0,226033924.95000002,618796885.0
2064,2193638547,723900720.6,1052946503.0,416791324.0,99898299.0,187490287.0,436512135.0,557648627.0,367494232.0,170467652.0,18755610.0,284318141.6,47043174.0,225356178.4,616941466.0
2065,2187061078,721730155.7,1049789317.0,415541604.8,99598761.0,186928110.0,435203284.0,555976556.0,366392325.0,169956516.0,18699372.0,283465632.75,46902118.0,224680462.25,615091611.0
2066,2180503330,719566099.0,1046641599.0,414295632.8,99300122.0,186367620.0,433898358.0,554309500.0,365293725.0,169446914.0,18643303.0,282615681.75,46761485.0,224006775.25,613247303.0
2067,2173965246,717408531.1,1043503318.0,413053396.7,99002377.0,185808810.0,432597344.0,552647442.0,364198418.0,168938839.0,18587403.0,281768278.9,46621274.0,223335107.1,611408524.0
2068,2167446765,715257432.5,1040374447.0,411814885.4,98705526.0,185251675.0,431300232.0,550990367.0,363106394.0,168432288.0,18531670.0,280923416.70000005,46481484.0,222665452.3,609575258.0
2069,2160947830,713112783.8,1037254958.0,410580087.7,98409564.0,184696211.0,430007009.0,549338263.0,362017646.0,167927256.0,18476104.0,280081088.3,46342112.0,221997805.70000002,607747491.0
2070,2154468381,710974565.7,1034144823.0,409348992.4,98114490.0,184142413.0,428717663.0,547691111.0,360932161.0,167423738.0,18420705.0,279241284.55,46203159.0,221332160.45000002,605925203.0
2071,2146945305,708491950.5,1030533746.0,407919607.9,97771889.0,183499415.0,427220646.0,545778657.0,359671841.0,166839120.0,18356382.0,278266216.55,46041824.0,220559302.45000002,603809404.0
2072,2139448498,706018004.3,1026935279.0,406495214.6,97430485.0,182858663.0,425728857.0,543872880.0,358415922.0,166256543.0,18292285.0,277294553.1,45881053.0,219789142.9,601700993.0
2073,2131977869,703552696.6,1023349377.0,405075795.0,97090272.0,182220148.0,424242276.0,541973759.0,357164388.0,165676000.0,18228411.0,276326282.4,45720843.0,219021672.6,599599945.0
2074,2124533326,701095997.5,1019775996.0,403661331.9,96751248.0,181583863.0,422760886.0,540081269.0,355917224.0,165097485.0,18164760.0,275361393.20000005,45561193.0,218256882.8,597506233.0
2075,2117114778,698647876.7,1016215093.0,402251807.8,96413407.0,180949800.0,421284670.0,538195388.0,354674415.0,164520989.0,18101331.0,274399872.25,45402100.0,217494761.75,595419832.0
2076,2109722135,696208304.5,1012666625.0,400847205.6,96076746.0,180317951.0,419813608.0,536316091.0,353435946.0,163946507.0,18038124.0,273441710.3,45243563.0,216735303.70000002,593340716.0
2077,2102355305,693777250.8,1009130547.0,399447508.0,95741261.0,179688308.0,418347682.0,534443357.0,352201801.0,163374031.0,17975138.0,272486893.55,45085580.0,215978497.45000002,591268860.0
2078,2095014200,691354686.0,1005606816.0,398052698.0,95406947.0,179060864.0,416886876.0,532577161.0,350971966.0,162803553.0,17912371.0,271535410.3,44928147.0,215224332.70000002,589204239.0
2079,2087698729,688940580.5,1002095390.0,396662758.4,95073800.0,178435610.0,415431170.0,530717483.0,349746425.0,162235068.0,17849824.0,270587249.75,44771265.0,214472802.25,587146828.0
2080,2080408802,686534904.6,998596224.9,395277672.3,94741817.0,177812540.0,413980547.0,528864298.0,348525163.0,161668568.0,17787495.0,269642399.65,44614931.0,213723895.35,585096600.0
2081,2068834593,682715415.8,993040604.8,393078572.7,94214727.0,176823293.0,411677396.0,525921998.0,346586169.0,160769136.0,17688536.0,268142263.95000002,44366719.0,212534858.05,581841457.0
2082,2057324777,678917176.5,987515893.1,390891707.7,93690570.0,175839549.0,409387057.0,522996068.0,344657960.0,159874708.0,17590127.0,266650473.00000003,44119888.0,211352435.0,578604422.0
2083,2045878995,675140068.4,982021917.7,388717009.1,93169329.0,174861278.0,407109461.0,520086416.0,342740480.0,158985257.0,17492265.0,265166982.00000003,43874430.0,210176590.0,575385397.0
2084,2034496891,671383974.0,976558507.6,386554409.3,92650988.0,173888449.0,404844536.0,517192953.0,340833668.0,158100753.0,17394948.0,263691744.4,43630337.0,209007287.6,572184280.0
2085,2023178110,667648776.3,971125492.8,384403840.9,92135531.0,172921033.0,402592212.0,514315585.0,338937464.0,157221171.0,17298173.0,262224714.20000002,43387603.0,207844490.8,569000974.0
2086,2011922301,663934359.2,965722704.3,382265237.1,91622942.0,171958999.0,400352419.0,511454227.0,337051808.0,156346482.0,17201936.0,260765844.4,43146219.0,206688162.6,565835376.0
2087,2000729112,660240606.9,960349973.7,380138531.3,91113204.0,171002317.0,398125086.0,508608787.0,335176644.0,155476659.0,17106234.0,259315092.20000002,42906178.0,205538266.8,562687391.0
