Year,,B_bchar,B_rfuel,B_ifuel,P_paper,R_paper,P_CB,R_CB,ComB_BC,ComB_HA,P_PR,S_Lumber,S_Veneer,S_PR,Construction,Home_Application,Construction_B,Construction_E
2020,1,0.135,0.5365,0.3285,0.341094095,0.358231707,0.286030629,0.1573,0.54,0.46,0.372875276,0.411,0.061,0.528,0.66,0.34,0.589,0.411
2021,2,0.125,0.6195,0.2555,0.340590182,0.359756098,0.286937673,0.1573,0.58,0.42,0.372472145,0.38,0.059,0.561,0.677,0.323,0.601,0.399
2022,3,0.149,0.5925,0.2585,0.340093033,0.359756098,0.287832541,0.1584,0.49,0.51,0.372074426,0.371,0.056,0.573,0.618,0.382,0.634,0.366
2023,4,0.149,0.6075,0.2435,0.339602469,0.360730594,0.288715556,0.1584,0.43,0.57,0.371681975,0.383,0.046,0.571,0.622,0.378,0.578,0.422
2024,5,0.128,0.622,0.25,0.339118318,0.360730594,0.289587028,0.1595,0.43,0.57,0.371294654,0.364,0.06,0.576,0.663,0.337,0.59,0.41
2025,6,0.143,0.5905,0.2665,0.338640414,0.362252664,0.290447255,0.1595,0.42,0.58,0.370912331,0.374,0.049,0.577,0.615,0.385,0.555,0.445
2026,7,0.128,0.612,0.26,0.338168598,0.362252664,0.291296523,0.1606,0.45,0.55,0.370534878,0.361,0.065,0.574,0.609,0.391,0.569,0.431
2027,8,0.119,0.6175,0.2635,0.337702717,0.363221884,0.292135109,0.1606,0.56,0.44,0.370162174,0.417,0.056,0.527,0.613,0.387,0.631,0.369
2028,9,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2029,10,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2030,11,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2031,12,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2032,13,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2033,14,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2034,15,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2035,16,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2036,17,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2037,18,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2038,19,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2039,20,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2040,21,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2041,22,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2042,23,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2043,24,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2044,25,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2045,26,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2046,27,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2047,28,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2048,29,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2049,30,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2050,31,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2051,32,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2052,33,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2053,34,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2054,35,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2055,36,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2056,37,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2057,38,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2058,39,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2059,40,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2060,41,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2061,42,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2062,43,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2063,44,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2064,45,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2065,46,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2066,47,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2067,48,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2068,49,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2069,50,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2070,51,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2071,52,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2072,53,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2073,54,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2074,55,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2075,56,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2076,57,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
