Year,,B_bchar,B_rfuel,B_ifuel,P_paper,R_paper,P_CB,R_CB,ComB_BC,ComB_HA,P_PR,S_Lumber,S_Veneer,S_PR,Construction,Home_Application,Construction_B,Construction_E
2077,58,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2078,59,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2079,60,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2080,61,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2081,62,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2082,63,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2083,64,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2084,65,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2085,66,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2086,67,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2087,68,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2088,69,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2089,70,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2090,71,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2091,72,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2092,73,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2093,74,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2094,75,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2095,76,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2096,77,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2097,78,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2098,79,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2099,80,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
2100,81,0.138,0.603,0.259,0.337242624,0.363221884,0.292963277,0.1606,0.55,0.45,0.369794099,0.409,0.045,0.546,0.683,0.317,0.636,0.364
