Year,Harveted_Timber,Biomass,Pulpwood,Sawlog
2020,1960665761,647019701,941119565.1,372526494.5
2021,1991358162,657148193.4,955851917.6,378358050.7
2022,2022531024,667435237.9,970814891.5,384280894.6
2023,2054191869,677883316.6,986012096.9,390296455
2024,2086348334,688494950.3,1001447200,396406183.5
2025,2119008179,699272699.2,1017123926,402611554.1
2026,2152179284,710219163.7,1033046056,408914064
2027,2185869652,721336985,1049217433,415315233.8
2028,2220087411,732628845.5,1065641957,421816608
2029,2254840817,744097469.5,1082323592,428419755.2
2030,2290138255,755745624.2,1099266363,435126268.5
2031,2280420617,752538803.6,1094601896,433279917.2
2032,2270744213,749345590.3,1089957222,431441400.5
2033,2261108869,746165926.6,1085332257,429610685
2034,2251514409,742999755.1,1080726916,427787737.8
2035,2241960662,739847018.4,1076141118,425972525.7
2036,2232447453,736707659.6,1071574778,424165016.1
2037,2222974612,733581621.8,1067027814,422365176.2
2038,2213541966,730468848.7,1062500144,420572973.5
2039,2204149345,727369283.8,1057991686,418788375.5
2040,2194796579,724282871.2,1053502358,417011350.1
2041,2198339746,725452116.3,1055203078,417684551.8
2042,2201888633,726623249,1056906544,418358840.3
2043,2205443249,727796272.3,1058612760,419034217.4
2044,2209003604,728971189.3,1060321730,419710684.7
2045,2212569706,730148003,1062033459,420388244.1
2046,2216141565,731326716.4,1063747951,421066897.3
2047,2219719190,732507332.8,1065465211,421746646.1
2048,2223302591,733689855,1067185244,422427492.3
2049,2226891777,734874286.3,1068908053,423109437.6
2050,2230486757,736060629.7,1070633643,423792483.7
2051,2229450601,735718698.4,1070136289,423595614.2
2052,2228414927,735376925.9,1069639165,423398836.1
2053,2227379734,735035312.2,1069142272,423202149.5
2054,2226345022,734693857.2,1068645611,423005554.2
2055,2225310790,734352560.8,1068149179,422809050.2
2056,2224277039,734011423,1067652979,422612637.5
2057,2223243769,733670443.7,1067157009,422416316
2058,2222210978,733329622.7,1066661269,422220085.8
2059,2221178667,732988960.1,1066165760,422023946.7
2060,2220146835,732648455.7,1065670481,421827898.7
2061,2213489883,730451661.3,1062475144,420563077.7
2062,2206852890,728261453.8,1059289387,419302049.1
2063,2200235798,726077813.5,1056113183,418044801.7
2064,2193638547,723900720.6,1052946503,416791324
2065,2187061078,721730155.7,1049789317,415541604.8
2066,2180503330,719566099,1046641599,414295632.8
2067,2173965246,717408531.1,1043503318,413053396.7
2068,2167446765,715257432.5,1040374447,411814885.4
2069,2160947830,713112783.8,1037254958,410580087.7
2070,2154468381,710974565.7,1034144823,409348992.4
2071,2146945305,708491950.5,1030533746,407919607.9
2072,2139448498,706018004.3,1026935279,406495214.6
2073,2131977869,703552696.6,1023349377,405075795
2074,2124533326,701095997.5,1019775996,403661331.9
2075,2117114778,698647876.7,1016215093,402251807.8
2076,2109722135,696208304.5,1012666625,400847205.6
2077,2102355305,693777250.8,1009130547,399447508
2078,2095014200,691354686,1005606816,398052698
2079,2087698729,688940580.5,1002095390,396662758.4
2080,2080408802,686534904.6,998596224.9,395277672.3
2081,2068834593,682715415.8,993040604.8,393078572.7
2082,2057324777,678917176.5,987515893.1,390891707.7
2083,2045878995,675140068.4,982021917.7,388717009.1
2084,2034496891,671383974,976558507.6,386554409.3
2085,2023178110,667648776.3,971125492.8,384403840.9
2086,2011922301,663934359.2,965722704.3,382265237.1
2087,2000729112,660240606.9,960349973.7,380138531.3
2088,1989598196,656567404.6,955007134,378023657.2
2089,1978529206,652914637.9,949694018.8,375920549.1
2090,1967521797,649282193.1,944410462.8,373829141.5
2091,1953755252,644739233.2,937802521,371213497.9
2092,1940085030,640228059.8,931240814.3,368616155.7
2093,1926510457,635748450.7,924725019.2,366036986.8
2094,1913030863,631300184.9,918254814.4,363475864.1
2095,1899645585,626883043.2,911829881,360932661.2
2096,1886353963,622496807.8,905449902.2,358407253
2097,1873155341,618141262.4,899114563.4,355899514.7
2098,1860049067,613816192.3,892823552.4,353409322.8
2099,1847034498,609521384.2,886576558.9,350936554.5
2100,1834110989,605256626.5,880373274.9,348481088
