Year,Harveted_Timber,Biomass,Pulpwood,Sawlog,Biochar,Residential_Fuel,Industry_Fuel,Paper,Composite_Board,Lumber,Veneer,Construction_B,Construction_E,Home_Application,Processing_Residual
2020,1960665761,647019701.0,941119565.1,372526494.5,71172167.0,212545972.0,347126070.0,500196612.0,319436361.0,153108389.0,22724116.0,240848762.94,47696325.0,206723778.06,547614207.0
2021,1991358162,657148193.4,955851917.6,378358050.7,72286301.0,215873182.0,352560006.0,508026726.0,324436840.0,155505159.0,23079841.0,244619026.60000002,48442967.0,209959846.4,556186599.0
2022,2022531024,667435237.9,970814891.5,384280894.6,73417876.0,219252476.0,358079005.0,515979413.0,329515597.0,157939448.0,23441135.0,248448310.38000003,49201297.0,213246572.62,564893183.0
2023,2054191869,677883316.6,986012096.9,390296455.0,74567165.0,222684670.0,363684399.0,524056591.0,334673858.0,160411843.0,23808084.0,252337537.32000002,49971497.0,216584749.68,573736061.0
2024,2086348334,688494950.3,1001447200.0,396406183.5,75734445.0,226170591.0,369377541.0,532260209.0,339912867.0,162922941.0,24180777.0,256287647.18,50753755.0,219975182.82,582717366.0
2025,2119008179,699272699.2,1017123926.0,402611554.1,76919997.0,229711082.0,375159803.0,540592249.0,345233886.0,165473349.0,24559305.0,260299592.44,51548258.0,223418689.56,591839266.0
2026,2152179284,710219163.7,1033046056.0,408914064.0,78124108.0,233306995.0,381032581.0,549054719.0,350638202.0,168063680.0,24943758.0,264374340.08,52355198.0,226916101.92000002,601103959.0
2027,2185869652,721336985.0,1049217433.0,415315233.8,79347068.0,236959200.0,386997292.0,557649661.0,356127118.0,170694561.0,25334229.0,268512875.72,53174770.0,230468263.28,610513683.0
2028,2220087411,732628845.5,1065641957.0,421816608.0,80589173.0,240668576.0,393055376.0,566379148.0,361701957.0,173366626.0,25730813.0,272716194.78,54007171.0,234076029.22,620070708.0
2029,2254840817,744097469.5,1082323592.0,428419755.2,81850722.0,244436019.0,399208292.0,575245287.0,367364066.0,176080519.0,26133605.0,276985314.64,54852603.0,237740272.36,629777339.0
2030,2290138255,755745624.2,1099266363.0,435126268.5,83132019.0,248262438.0,405457527.0,584250218.0,373114808.0,178836896.0,26542702.0,281321261.32000005,55711270.0,241461874.68,639635919.0
2031,2280420617,752538803.6,1094601896.0,433279917.2,82779268.0,247208997.0,403737068.0,581771096.0,371531588.0,178078046.0,26430075.0,280127544.52,55474873.0,240437291.48000002,636921780.0
2032,2270744213,749345590.3,1089957222.0,431441400.5,82428015.0,246160026.0,402023909.0,579302493.0,369955085.0,177322416.0,26317925.0,278938891.9,55239479.0,239417055.1,634219159.0
2033,2261108869,746165926.6,1085332257.0,429610685.0,82078252.0,245115507.0,400318020.0,576844366.0,368385271.0,176569992.0,26206252.0,277755283.34000003,55005084.0,238401147.66,631528007.0
2034,2251514409,742999755.1,1080726916.0,427787737.8,81729973.0,244075420.0,398619369.0,574396668.0,366822119.0,175820760.0,26095052.0,276576697.26,54771683.0,237389550.74,628848273.0
2035,2241960662,739847018.4,1076141118.0,425972525.7,81383172.0,243039746.0,396927925.0,571959358.0,365265600.0,175074708.0,25984324.0,275403112.0,54539273.0,236382247.0,626179910.0
2036,2232447453,736707659.6,1071574778.0,424165016.1,81037843.0,242008466.0,395243659.0,569532389.0,363715685.0,174331822.0,25874066.0,274234506.9,54307849.0,235379217.1,623522870.0
2037,2222974612,733581621.8,1067027814.0,422365176.2,80693978.0,240981563.0,393566540.0,567115719.0,362172347.0,173592087.0,25764276.0,273070860.38,54077407.0,234380442.62,620877104.0
2038,2213541966,730468848.7,1062500144.0,420572973.5,80351573.0,239959017.0,391896537.0,564709302.0,360635558.0,172855492.0,25654951.0,271912151.32000005,53847943.0,233385907.68,618242564.0
