Year,Biochar,Biochar_E,IFuelwood_E,IFuelwood_Char,RFuelwood_E,RFuelwood_Char,Paper_C,Paper_A,Paper_D,Paper_R,Paper_L,BC_C,BC_A,BC_D,BC_R,BC_L,EC_C,EC_A,EC_L,HA_C,HA_A,HA_D,HA_R,HA_L
2020,47685352.0,23486815.0,336712288.0,10413782.0,195542294.0,17003678.0,500196612.0,472758528.0,27965757.0,1400456.0,26565301.0,240848763.0,240729272.0,124912.0,0.0,124912.0,47696325.0,47513061.0,190609.0,206723778.0,206357760.0,382574.0,0.0,382574.0
2021,48431822.0,23854479.0,341983206.0,10576800.0,198603327.0,17269855.0,508026726.0,924436088.0,57394400.0,5593427.0,51800973.0,244619027.0,485096311.0,263358.0,4564.0,258795.0,48442967.0,95571633.0,399664.0,209959846.0,415545889.0,806359.0,18631.0,787728.0
2022,49189977.0,24227899.0,347336635.0,10742370.0,201712278.0,17540198.0,515979413.0,1353698230.0,88266370.0,11428087.0,76838283.0,248448310.0,733146019.0,416491.0,11439.0,405052.0,49201297.0,144168318.0,628411.0,213246573.0,627572156.0,1274656.0,46678.0,1227978.0
2023,49960001.0,24607164.0,352773867.0,10910532.0,204869896.0,17814774.0,524056591.0,1759235464.0,120555039.0,18527709.0,102027330.0,252337537.0,984923032.0,585540.0,20293.0,565247.0,49971497.0,193294627.0,878149.0,216584750.0,842441723.0,1790959.0,82760.0,1708199.0
2024,50742078.0,24992367.0,358296215.0,11081326.0,208076944.0,18093647.0,532260209.0,2139770335.0,154226781.0,26706766.0,127520015.0,256287647.0,1240471648.0,771823.0,31055.0,740768.0,50753755.0,242940935.0,1150221.0,219975183.0,1060156971.0,2358954.0,126553.0,2232401.0
2025,51536398.0,25383599.0,363905009.0,11254794.0,211334195.0,18376887.0,540592249.0,2494064381.0,189241117.0,35853941.0,153387176.0,260299592.0,1499835761.0,976745.0,43752.0,932992.0,51548258.0,293096438.0,1446023.0,223418690.0,1280717309.0,2982527.0,178132.0,2804395.0
2026,52343152.0,25780956.0,369601604.0,11430977.0,214642435.0,18664560.0,549054719.0,2820924910.0,225550944.0,45892978.0,179657966.0,264374340.0,1763058775.0,1201804.0,58465.0,1143339.0,52355198.0,343749102.0,1766996.0,226916102.0,1504118989.0,3665767.0,237775.0,3427992.0
2027,53162536.0,26184532.0,375387373.0,11609919.0,218002464.0,18956736.0,557649661.0,3119211509.0,263102830.0,56765996.0,206336834.0,268512876.0,2030183538.0,1448598.0,75307.0,1373291.0,53174770.0,394885625.0,2114625.0,230468263.0,1730354918.0,4412965.0,305883.0,4107082.0
2028,53994746.0,26594427.0,381263715.0,11791661.0,221415090.0,19253486.0,566379148.0,3387842225.0,301837395.0,68425267.0,233412128.0,272716195.0,2301252241.0,1718823.0,94416.0,1624407.0,54007171.0,446491397.0,2490439.0,234076029.0,1959414464.0,5228619.0,382948.0,4845671.0
2029,54839984.0,27010738.0,387232043.0,11976249.0,224881137.0,19554882.0,575245287.0,3625799323.0,341689756.0,80828758.0,260860998.0,276985315.0,2576306345.0,2014286.0,115952.0,1898334.0,54852603.0,498550456.0,2896006.0,237740272.0,2191283264.0,6117432.0,469530.0,5647902.0
2030,55698453.0,27433566.0,393293801.0,12163726.0,228401443.0,19860995.0,584250218.0,3832134579.0,382590036.0,93937568.0,288652468.0,281321261.0,2855386475.0,2336901.0,140091.0,2196810.0,55711270.0,551045461.0,3332933.0,241461875.0,2425943031.0,7084314.0,566248.0,6518066.0
2031,55462110.0,27317158.0,391624956.0,12112112.0,227432277.0,19776720.0,581771096.0,3994986683.0,423813990.0,107549463.0,316264527.0,280127545.0,3132937570.0,2685796.0,166849.0,2518948.0,55474873.0,602853403.0,3798429.0,240437291.0,2658575428.0,8125488.0,673036.0,7452452.0
