Year,Charcoal_A,Charcoal_D,Landfill_C,Landfill_A,Landfill_DC
0,75027709.0,75103.0,27263396.0,25503906.0,1759490.0
1,151154880.0,151306.0,66097799.0,88546726.0,3054979.0
2,228398798.0,228627.0,99786344.0,184755270.0,3577800.0
3,306777020.0,307084.0,131691161.0,310202103.0,6244327.0
4,386307377.0,386694.0,162904986.0,461232770.0,11874319.0
5,467007981.0,467475.0,193918373.0,634464834.0,20686309.0
6,548897223.0,549447.0,224986103.0,826519279.0,32931658.0
7,631993788.0,632626.0,256249416.0,1033914357.0,48854338.0
8,716316647.0,717034.0,287787132.0,1253015123.0,68686365.0
9,801885074.0,802688.0,319640437.0,1480007482.0,92648078.0
10,888718640.0,889608.0,351826275.0,1710884743.0,120949014.0
11,975093513.0,976070.0,382790728.0,1765599825.0,328075646.0
12,1061011728.0,1062074.0,413487186.0,2000154477.0,178932535.0
13,1146475316.0,1147623.0,443892539.0,2236394629.0,207652386.0
14,1231486294.0,1232719.0,473976300.0,2473485591.0,236885337.0
15,1316046673.0,1317364.0,503703025.0,2710578925.0,266609691.0
16,1400158455.0,1401560.0,484578612.0,2946841871.0,248315666.0
17,1483823632.0,1485309.0,488158672.0,3136210518.0,298790026.0
18,1567044190.0,1568613.0,491455250.0,3298320860.0,329344908.0
19,1649822106.0,1651474.0,494466284.0,3432239489.0,360547654.0
20,1732159348.0,1733893.0,497191117.0,3542038841.0,387391765.0
21,1814549837.0,1816366.0,500004705.0,3594358623.0,447684923.0
22,1896993737.0,1898893.0,502679138.0,3666771992.0,430265770.0
23,1979491217.0,1981473.0,505219191.0,3725517087.0,446474096.0
24,2062042441.0,2064107.0,507630912.0,3774769419.0,458378580.0
25,2144647577.0,2146794.0,509921551.0,3818772337.0,465918633.0
26,2227306788.0,2229536.0,512099462.0,3861870535.0,469001263.0
27,2310020246.0,2312333.0,514731899.0,3907922419.0,468680016.0
28,2392788112.0,2395183.0,517823171.0,3954487875.0,471257716.0
29,2475610556.0,2478089.0,521377565.0,4002394485.0,473470955.0
30,2558487744.0,2561049.0,525399255.0,4052459728.0,475334012.0
31,2641242405.0,2643886.0,529741077.0,4105432737.0,476768068.0
32,2723874682.0,2726601.0,534508908.0,4161828559.0,478113086.0
33,2806384711.0,2809194.0,539705094.0,4222112743.0,479420910.0
34,2888772636.0,2891664.0,545331603.0,4286670529.0,480773817.0
35,2971038597.0,2974013.0,551389972.0,4355807633.0,482252868.0
36,3053182734.0,3056239.0,557881279.0,4409188649.0,504500263.0
37,3135205187.0,3138344.0,564655786.0,4487197365.0,486647071.0
38,3217106096.0,3220326.0,571716730.0,4570072131.0,488841964.0
39,3298885602.0,3302188.0,579067061.0,4657735153.0,491404039.0
40,3380543843.0,3383928.0,586709398.0,4750108429.0,494336123.0
41,3461865689.0,3465331.0,594448418.0,4819552424.0,525004422.0
42,3542852239.0,3546399.0,602428053.0,4919314776.0,502665701.0
43,3623504589.0,3627132.0,610648702.0,5023377820.0,506585658.0
44,3703823834.0,3707531.0,619110392.0,5131708537.0,510779675.0
45,3783811062.0,3787599.0,627812772.0,5244296640.0,515224668.0
46,3863467362.0,3867335.0,636755097.0,5361154592.0,519897145.0
47,3942793816.0,3946741.0,645988460.0,5482318767.0,524824285.0
48,4021791504.0,4025817.0,655510479.0,5607897232.0,529932014.0
49,4100461504.0,4104566.0,665318237.0,5737999937.0,535215532.0
50,4178804889.0,4182988.0,675408267.0,5872738598.0,540669606.0
51,4256782049.0,4261043.0,685737109.0,6012221385.0,546254322.0
52,4334394356.0,4338733.0,696329696.0,6156512221.0,552038860.0
53,4411643177.0,4416059.0,707180730.0,6305689057.0,558003894.0
54,4488529872.0,4493023.0,718284381.0,6459815445.0,564157993.0
55,4565055799.0,4569625.0,729634294.0,6618941218.0,570508521.0
56,4641222309.0,4645868.0,741223602.0,6783101636.0,577063185.0
57,4717030752.0,4721753.0,753106378.0,6952316985.0,583891028.0
58,4792482467.0,4797280.0,765273606.0,7126650339.0,590940253.0
59,4867578794.0,4872451.0,777715661.0,7306158135.0,598207865.0
60,4942321065.0,4947268.0,790422329.0,7490889728.0,605690735.0
61,5016545689.0,5021567.0,801079020.0,7680880899.0,611087849.0
62,5090255649.0,5095351.0,812118066.0,7873874143.0,619124823.0
63,5163453910.0,5168623.0,823326844.0,8069991060.0,627209927.0
64,5236143420.0,5241385.0,834694556.0,8269138518.0,635547098.0
65,5308327111.0,5313641.0,846210019.0,8471248031.0,644100505.0
66,5380007900.0,5385393.0,857861683.0,8676240914.0,652868800.0
67,5451188684.0,5456645.0,869648971.0,8884030318.0,661859567.0
68,5521872345.0,5527400.0,881559474.0,9094532241.0,671057551.0
69,5592061752.0,5597659.0,893580493.0,9307664092.0,680448642.0
70,5661759755.0,5667427.0,905699071.0,9523344856.0,690018307.0
71,5730861264.0,5736598.0,910479503.0,9741494215.0,692330144.0
72,5799370561.0,5805176.0,915601864.0,9954758252.0,702337828.0
73,5867291897.0,5873165.0,920730712.0,10163264981.0,712223982.0
74,5934629495.0,5940570.0,925859818.0,10366833916.0,722290883.0
75,6001387549.0,6007395.0,930982828.0,10565518605.0,732298139.0
76,6067570222.0,6073644.0,936093248.0,10759405857.0,742205996.0
77,6133181648.0,6139321.0,941229210.0,10948617293.0,752017774.0
78,6198225932.0,6204430.0,946382979.0,11133346938.0,761653334.0
79,6262707151.0,6268976.0,951546607.0,11313818199.0,771075346.0
80,6326629351.0,6332962.0,956711949.0,11490281215.0,780248934.0
